passenger_bucket,passenger_count,payment_type,pickup_hour,total_trips,total_fare,total_tip,avg_tip_percent,tip_range
1,1,4,7,1229,16103.75,2,0.0124195,0-5%
1,1,4,2,1092,13858.73,96,0.6927042,0-5%
1,1,3,3,972,13383.35,0,0,0-5%
1,1,4,6,919,14011.81,0,0,0-5%
1,1,3,5,810,12824.57,0.68,0.0053023,0-5%
1,1,3,4,808,11301.82,0,0,0-5%
1,1,4,3,787,10606.89,4.32,0.0407282,0-5%
1,1,4,4,757,11323,0,0,0-5%
1,1,4,5,565,9101.44,1.5,0.0164809,0-5%
1,1,5,16,1,8.5,0,0,0-5%
2,2,1,18,303701,4405010.97,1059334.27,24.0483912,20%+
2,2,1,19,286487,4025176.69,965543.3,23.9876004,20%+
2,2,1,17,283325,4537076.86,1076201.38,23.7201487,20%+
2,2,1,21,269488,3831634.22,907934.5,23.6957509,20%+
2,2,1,16,261616,4561926.31,1070100.92,23.4572163,20%+
2,2,1,20,259488,3677162.51,871357.67,23.6964689,20%+
2,2,1,15,258592,4509713.01,1029324.53,22.8246127,20%+
2,2,1,22,254528,3764813.02,878354.89,23.3306378,20%+
2,2,1,14,242357,4273304.83,977833.52,22.8823723,20%+
2,2,1,13,220644,3766092.58,867789.96,23.0421834,20%+
2,2,1,12,208960,3424835.17,794067.96,23.1855818,20%+
2,2,1,23,194821,3000929.05,686571.54,22.8786329,20%+
2,2,1,11,183974,2925770.72,684518.47,23.3961761,20%+
2,2,1,10,157546,2498290.03,584119.94,23.3807898,20%+
2,2,1,0,130066,2002500.68,453389.74,22.6411778,20%+
2,2,1,9,126357,2078862.81,481405.69,23.157165,20%+
2,2,1,8,109916,1899370.48,430365.94,22.6583463,20%+
2,2,1,1,86228,1192269.17,272240.88,22.8338438,20%+
2,2,2,14,84270,1420873.68,64.59,0.0045458,0-5%
2,2,2,15,84125,1426888.12,14.12,0.0009896,0-5%
2,2,2,16,81324,1393349.1,15.2,0.0010909,0-5%
2,2,2,13,79607,1289147.68,28.83,0.0022364,0-5%
2,2,2,18,79552,1188373.82,35.68,0.0030024,0-5%
2,2,2,17,78989,1298932.85,28.1,0.0021633,0-5%
2,2,1,7,75081,1443059.2,322242.83,22.3305343,20%+
2,2,2,12,74865,1163697.78,23.01,0.0019773,0-5%
2,2,2,19,71182,1038255.04,28.2,0.0027161,0-5%
2,2,2,11,66815,999870.56,30.35,0.0030354,0-5%
2,2,2,20,60211,863170.56,10.88,0.0012605,0-5%
2,2,2,21,59333,840087.41,6.84,0.0008142,0-5%
2,2,2,10,57509,862647.92,30.54,0.0035403,0-5%
2,2,1,2,55480,717660.67,163186.47,22.738667,20%+
2,2,2,22,52420,770631.93,14.52,0.0018842,0-5%
2,2,2,9,42111,653538.09,13.07,0.0019999,0-5%
2,2,2,23,40628,642802.24,9.02,0.0014032,0-5%
2,2,1,6,35656,917607.14,196671.71,21.4331059,20%+
2,2,1,3,33926,473533.16,105130.15,22.2012224,20%+
2,2,2,8,29636,517132.2,6.86,0.0013265,0-5%
2,2,2,0,27430,451589.67,18.55,0.0041077,0-5%
2,2,2,7,20148,398124.08,2,0.0005024,0-5%
2,2,1,4,18587,391394.64,84667,21.6321307,20%+
2,2,1,5,17260,503211.55,107766.63,21.4157704,20%+
2,2,2,1,16764,265087.81,4.56,0.0017202,0-5%
2,2,2,6,11854,267532.61,3.56,0.0013307,0-5%
2,2,2,2,10815,167201.09,0,0,0-5%
2,2,2,3,7563,123060.71,0,0,0-5%
2,2,2,5,6697,149191.81,0,0,0-5%
2,2,2,4,6053,117604.51,0,0,0-5%
2,2,3,16,917,17412.97,0,0,0-5%
2,2,3,15,900,16319.62,0,0,0-5%
2,2,3,18,896,13725.15,2.95,0.0214934,0-5%
2,2,3,19,858,12318.11,0.5,0.0040591,0-5%
2,2,3,17,847,14571.89,1,0.0068625,0-5%
2,2,3,14,830,15420.71,0,0,0-5%
2,2,3,13,829,15187.63,81.85,0.5389254,0-5%
2,2,3,20,723,10714.53,1.56,0.0145597,0-5%
2,2,4,18,723,12978.31,0,0,0-5%
2,2,4,19,715,10711.64,0,0,0-5%
2,2,3,12,701,12309.75,0,0,0-5%
2,2,3,22,663,10361.51,0,0,0-5%
2,2,3,21,655,9278.11,0,0,0-5%
2,2,4,22,650,9855.5,4.04,0.0409923,0-5%
2,2,4,20,643,10655.69,0,0,0-5%
2,2,4,17,635,11936.5,0,0,0-5%
2,2,4,21,632,9998.57,0,0,0-5%
2,2,4,16,622,11890.9,3.25,0.0273318,0-5%
2,2,3,11,622,11035.88,0,0,0-5%
2,2,3,23,577,8976.41,0,0,0-5%
2,2,4,15,568,11655.26,0,0,0-5%
2,2,4,13,560,10445.51,0,0,0-5%
2,2,4,23,536,8831.35,15,0.1698495,0-5%
2,2,3,10,531,9860.05,0,0,0-5%
2,2,4,14,515,9559.31,60,0.6276604,0-5%
2,2,4,12,510,8449.5,0,0,0-5%
2,2,4,0,428,7247.3,0,0,0-5%
2,2,3,0,423,6436.52,0,0,0-5%
2,2,4,11,408,7140.6,0,0,0-5%
2,2,4,10,383,6510.86,0,0,0-5%
2,2,3,9,371,7029.01,7.81,0.111111,0-5%
2,2,4,1,305,4711.5,0,0,0-5%
2,2,3,8,293,5951.8,0.46,0.0077288,0-5%
2,2,3,1,291,4196.53,0,0,0-5%
2,2,4,9,270,4981.5,0,0,0-5%
2,2,3,7,215,5072.55,0,0,0-5%
2,2,4,8,197,3632.59,0,0,0-5%
2,2,4,2,195,2867,0,0,0-5%
2,2,3,2,178,2626,0,0,0-5%
2,2,4,7,161,3214.51,0,0,0-5%
2,2,3,6,155,3409.3,0,0,0-5%
2,2,3,3,142,2272.5,0,0,0-5%
2,2,4,4,130,2625,0,0,0-5%
2,2,3,4,126,3282.04,0,0,0-5%
2,2,4,3,124,2101.22,0,0,0-5%
2,2,4,6,105,2376,0,0,0-5%
2,2,3,5,98,2136,0,0,0-5%
2,2,4,5,77,1719.5,0,0,0-5%
3-6,3,1,18,77229,1109095.75,263788.33,23.7840899,20%+
3-6,3,1,17,75860,1182764.51,276775.5,23.4007275,20%+
3-6,3,1,19,71831,986376.25,234671.75,23.7913017,20%+
3-6,3,1,15,70437,1188920.84,267852.11,22.5290113,20%+
3-6,3,1,16,70259,1181769.11,274211.62,23.2034852,20%+
3-6,3,1,20,64195,880544.37,208086.72,23.6315996,20%+
3-6,3,1,14,64069,1106947.67,248507.54,22.4498002,20%+
3-6,3,1,21,63838,887441.24,209777.47,23.6384631,20%+
3-6,3,1,22,58928,840130.23,195598.1,23.2818786,20%+
3-6,3,1,13,57405,969138.74,220350.08,22.7366909,20%+
3-6,3,1,12,53946,876080.23,201605.24,23.0121892,20%+
3-6,3,1,11,47750,751300.66,174923.12,23.2827055,20%+
3-6,3,1,23,47247,693789.65,157644.88,22.7222877,20%+
3-6,3,1,10,40404,635564.25,146624.76,23.0700138,20%+
3-6,5,1,18,35721,467928.85,116326.99,24.8599739,20%+
3-6,5,1,19,33503,429145.7,106555.18,24.8296045,20%+
3-6,5,1,17,33303,461595.5,114201.42,24.7405835,20%+
3-6,3,1,0,32951,473978.53,105620,22.2837098,20%+
3-6,3,1,9,32793,530883.16,121780.25,22.9391812,20%+
3-6,4,1,18,31697,492889.41,116379.56,23.6116982,20%+
3-6,4,1,17,31008,526581.68,122201.3,23.2065233,20%+
3-6,5,1,21,30939,409982.55,100782.13,24.5820536,20%+
3-6,5,1,20,30509,402073,98269.14,24.4406215,20%+
3-6,5,1,15,29629,446335.2,106423.01,23.8437412,20%+
3-6,4,1,19,29614,433690.94,102292.67,23.5865361,20%+
3-6,5,1,16,29287,437827.32,107595.38,24.5748438,20%+
3-6,4,1,16,29125,542892.19,123348.1,22.7205516,20%+
3-6,5,1,14,28308,422758.94,100754.67,23.8326527,20%+
3-6,3,1,8,28281,466385.22,105534.23,22.6281249,20%+
3-6,5,1,22,28249,389714,94203.53,24.1724778,20%+
3-6,4,1,15,28153,532086.29,117446.02,22.0727394,20%+
3-6,4,1,14,26307,500270.99,110485.73,22.0851763,20%+
3-6,4,1,21,26195,382705.71,89411.57,23.3630091,20%+
3-6,4,1,20,26052,382766.9,90144.94,23.5508713,20%+
3-6,5,1,13,25606,372609.45,89090.09,23.9097774,20%+
3-6,5,1,12,25542,357971.9,86151.42,24.0665315,20%+
